SQL Server

-----------------------
P11Q5	0.39	0.33
P12Q3	0.74		0.30
P13Q8	0.5		0.36
P14Q7	0.72		0.35
P15Q3	5.65		0.30
Q17Q3	14.22	0.30
P18Q21	2.39	0.47
P19Q2	2.96	0.09
P20Q2	2.95		0.09


Oracle
--------------------------
P11Q5	4.48	2.24
P12Q3	9.33	4.13
P13Q8	1.89		1.7
P14Q7	2.68	1.98
P15Q3	0.16		4.13
Q17Q3	0.80	4.13
P18Q21	8.12		10.87
P19Q2	0.26		0.05
P20Q2	0.23		0.05
